specimen_ID,sex,age,side_face,row,column,position_on_face,whisker_presence,extradermal_length_mm,intradermal_length_mm,total_length_mm
SH12,Female,Adult,Right,E,2,E2,Present,70.8,5.4,76.1
SH12,Female,Adult,Left,E,3,E3,Present,76.8,4.9,81.7
SH12,Female,Adult,Right,E,3,E3,Present,68.9,4.2,73.1
SH12,Female,Adult,Left,E,4,E4,Present,26.4,3.2,29.5
SH12,Female,Adult,Right,E,4,E4,Present,41.7,2.9,44.5
SH12,Female,Adult,Right,E,5,E5,Present,31.4,3.4,34.8
SH12,Female,Adult,Left,E,6,E6,Present,19.7,1.4,21.1
SH12,Female,Adult,Right,E,6,E6,Present,19.8,2.8,22.6
SH12,Female,Adult,Left,E,7,E7,Present,5.3,4.2,9.5
SH12,Female,Adult,Right,E,7,E7,Present,11,2.2,13.2
SH12,Female,Adult,Left,F,1,F1,Present,73.2,5.5,78.7
SH12,Female,Adult,Left,F,2,F2,Present,81.8,5.1,86.8
SH12,Female,Adult,Right,F,2,F2,Present,44.4,4.2,48.5
SH12,Female,Adult,Left,F,3,F3,Present,60.7,4,64.7
SH12,Female,Adult,Right,F,3,F3,Present,41.6,4.6,46.1
SH12,Female,Adult,Left,F,4,F4,Present,39.8,2.7,42.5
SH12,Female,Adult,Right,F,4,F4,Present,42.4,2.9,45.3
SH12,Female,Adult,Left,F,5,F5,Present,28.4,1.6,30
SH12,Female,Adult,Right,F,5,F5,Present,34.8,2.3,37.1
SH12,Female,Adult,Left,F,6,F6,Present,14.1,3.3,17.4
SH12,Female,Adult,Right,F,6,F6,Present,25.9,2.5,28.4
SH12,Female,Adult,Left,F,7,F7,Present,8.5,2.4,10.8
SH12,Female,Adult,Right,F,7,F7,Present,20.4,2.2,22.6
SH13,Male,Yearling,Left,A,1,A1,Present,74.6,4.2,78.8
SH13,Male,Yearling,Right,A,1,A1,Present,82.6,3.7,86.3
SH13,Male,Yearling,Right,A,2,A2,Present,48.7,3.4,52.1
SH13,Male,Yearling,Left,A,3,A3,Present,29.2,1.7,30.8
SH13,Male,Yearling,Right,A,3,A3,Present,30.9,3.1,34
SH13,Male,Yearling,Left,A,4,A4,Present,15.5,1.9,17.4
SH13,Male,Yearling,Right,A,4,A4,Present,17.6,1.7,19.3
SH13,Male,Yearling,Left,B,1,B1,Present,103.4,5.2,108.5
SH13,Male,Yearling,Right,B,1,B1,Present,106.7,3.9,110.6
SH13,Male,Yearling,Left,B,2,B2,Present,86.9,4.2,91.1
SH13,Male,Yearling,Right,B,2,B2,Present,60.8,3.3,64.1
SH13,Male,Yearling,Left,B,3,B3,Present,57.7,3,60.7
SH13,Male,Yearling,Right,B,3,B3,Present,63.3,3.7,67
SH13,Male,Yearling,Left,B,4,B4,Present,11,2.4,13.4
SH13,Male,Yearling,Right,B,4,B4,Present,17.3,2.9,20.2
SH13,Male,Yearling,Left,B,5,B5,Present,8.3,1,9.3
SH13,Male,Yearling,Left,C,1,C1,Present,115.7,5.2,120.9
SH13,Male,Yearling,Right,C,1,C1,Present,114.8,4.3,119.1
SH13,Male,Yearling,Left,C,2,C2,Present,101.6,4.5,106.1
SH13,Male,Yearling,Right,C,2,C2,Present,105.3,4,109.3
SH13,Male,Yearling,Left,C,3,C3,Present,52.3,3.4,55.7
SH13,Male,Yearling,Right,C,3,C3,Present,60.1,3.5,63.6
SH13,Male,Yearling,Left,C,4,C4,Present,38.3,3.7,42
SH13,Male,Yearling,Right,C,4,C4,Present,40.4,3,43.4
SH13,Male,Yearling,Left,C,5,C5,Present,7.6,3.8,11.4
SH13,Male,Yearling,Left,C,6,C6,Present,5.3,1.8,7.1
SH13,Male,Yearling,Left,D,1,D1,Present,114.6,6.4,121
SH13,Male,Yearling,Right,D,1,D1,Present,120.9,4.8,125.7
SH13,Male,Yearling,Left,D,2,D2,Present,79.1,5.3,84.4
SH13,Male,Yearling,Right,D,2,D2,Present,114.4,4.7,119.1
SH13,Male,Yearling,Left,D,3,D3,Present,78.5,3.9,82.3
SH13,Male,Yearling,Right,D,3,D3,Present,90,4.1,94
SH13,Male,Yearling,Left,D,4,D4,Present,28.3,4.4,32.7
SH13,Male,Yearling,Right,D,4,D4,Present,36.4,4.3,40.7
SH13,Male,Yearling,Left,D,5,D5,Present,12.4,4.3,16.6
SH13,Male,Yearling,Right,D,5,D5,Present,22.4,3.5,25.8
SH13,Male,Yearling,Left,D,6,D6,Present,6.7,2.6,9.3
SH13,Male,Yearling,Left,D,7,D7,Present,9.9,2,11.9
SH13,Male,Yearling,Left,E,1,E1,Present,105.5,4.9,110.4
SH13,Male,Yearling,Right,E,1,E1,Present,114.7,5.8,120.5
SH13,Male,Yearling,Left,E,2,E2,Present,94.7,5.1,99.7
SH13,Male,Yearling,Right,E,2,E2,Present,91.6,4.3,95.9
SH13,Male,Yearling,Left,E,3,E3,Present,78.4,4.8,83.2
SH13,Male,Yearling,Right,E,3,E3,Present,73.3,3.8,77.1
SH13,Male,Yearling,Left,E,4,E4,Present,11.9,2.2,14.1
SH13,Male,Yearling,Right,E,4,E4,Present,22.1,3.6,25.7
SH13,Male,Yearling,Left,E,5,E5,Present,12.6,3.9,16.4
SH13,Male,Yearling,Right,E,5,E5,Present,20.4,3.6,24
SH13,Male,Yearling,Left,E,6,E6,Present,17.2,3.1,20.3
SH13,Male,Yearling,Left,E,7,E7,Present,6.3,3.1,9.4
SH13,Male,Yearling,Left,F,1,F1,Present,58,5.3,63.2
SH13,Male,Yearling,Right,F,1,F1,Present,88,5,93
SH13,Male,Yearling,Left,F,2,F2,Present,46.9,4.3,51.2
SH13,Male,Yearling,Right,F,2,F2,Present,59.8,3.7,63.5
SH13,Male,Yearling,Left,F,3,F3,Present,58.2,3.8,61.9
SH13,Male,Yearling,Right,F,3,F3,Present,65.6,4.3,69.9
SH13,Male,Yearling,Left,F,4,F4,Present,33.5,3.3,36.8
SH13,Male,Yearling,Right,F,4,F4,Present,38.8,4.6,43.4
SH13,Male,Yearling,Left,F,5,F5,Present,23,3,26
SH13,Male,Yearling,Right,F,5,F5,Present,33.5,3.5,37
SH13,Male,Yearling,Left,F,6,F6,Present,12.1,3,15.1
SH13,Male,Yearling,Right,F,6,F6,Present,15.2,3,18.2
SH13,Male,Yearling,Left,F,7,F7,Present,8.3,2.5,10.8
