specimen_studbook_number,housename,whisker_region,sample_number,weight_mg,segment_length_mm,cummulative_start_length_from_base_mm,segment,cummulative_end_length_from_base_mm,spike_in_N,date,days_before_whisker_collected,growth_rate_between_label_events,N_raw,C_raw,N,C,note,N_wgt,C_wgt,C/N molar
A80040,Errol,,2,1.35,3,2,to,5,no,,,,14.48,-15.7,12.01,-15.48,1.35,15.45,45.58,3.44
A80040,Errol,,3,0.96,2.5,5,to,7.5,no,,,,14.94,-15.4,12.47,-15.19,0.96,15.3,44.63,3.4
A80040,Errol,,4,0.87,2,7.5,to,9.5,no,,,,14.18,-15.47,11.71,-15.26,0.87,15.64,45.43,3.39
A80040,Errol,,5,0.87,2,9.5,to,11.5,no,,,,14.36,-15.58,11.89,-15.37,0.87,14.38,41.78,3.39
A80040,Errol,,6,0.71,2,11.5,to,13.5,no,,,,14.82,-15.26,12.35,-15.06,0.71,14.99,43.45,3.38
A80040,Errol,,7,0.69,2,13.5,to,15.5,no,,,,15.76,-15.2,13.3,-15,0.69,15.41,44.54,3.37
A80040,Errol,,8,0.76,2,15.5,to,17.5,no,,,,16.03,-15.73,13.57,-15.51,0.76,15.13,43.8,3.38
A80040,Errol,,9,0.69,2,17.5,to,19.5,yes,09/12/2011,91,0.21,26.65,-15.63,24.21,-15.42,0.69,14.9,43.02,3.37
A80040,Errol,,10,0.63,2,19.5,to,21.5,no,,,,27.13,-16.35,24.69,-16.11,0.63,16.65,48.2,3.38
A80040,Errol,,11,0.63,2,21.5,to,23.5,no,,,,15.83,-19.14,13.37,-18.81,0.63,16.23,46.99,3.38
A80040,Errol,,12,0.59,2,23.5,to,25.5,no,,,,14.38,-19.73,11.91,-19.38,0.59,16.47,47.7,3.38
A80040,Errol,,13,0.98,3,25.5,to,28.5,no,,,,14.27,-18.78,11.8,-18.46,0.98,13.74,40.02,3.4
A80040,Errol,,14,0.66,2,28.5,to,30.5,no,,,,14.42,-18.51,11.95,-18.2,0.66,14.28,41.54,3.39
A80040,Errol,,15,0.59,2,30.5,to,32.5,no,,,,14.38,-18.83,11.91,-18.51,0.59,14.73,42.8,3.39
A80040,Errol,,16,0.72,2.5,32.5,to,35,no,,,,14.44,-19.11,11.97,-18.78,0.72,15.13,44.04,3.4
A80040,Errol,,17,0.71,2.5,35,to,37.5,no,,,,14.87,-18.3,12.4,-18,0.71,13.8,40.1,3.39
A80040,Errol,,18,0.68,2.5,37.5,to,40,no,,,,15.34,-18.59,12.87,-18.28,0.68,14.29,41.53,3.39
A80040,Errol,,19,0.58,2.5,40,to,42.5,no,,,,14.94,-18.66,12.47,-18.35,0.58,14.73,42.62,3.38
A80040,Errol,,20,0.79,3,42.5,to,45.5,no,,,,15.35,-18.38,12.88,-18.08,0.79,13.98,40.52,3.38
A80040,Errol,,21,0.66,3,45.5,to,48.5,no,,,,16.89,-18.85,14.43,-18.53,0.66,14.61,42.28,3.38
A80040,Errol,,22,0.65,3,48.5,to,51.5,yes,09/09/2011,182,0.35,32.45,-19.02,30.02,-18.69,0.65,14.95,43.26,3.38
A80040,Errol,,23,0.55,3,51.5,to,54.5,no,,,,20.59,-19.81,18.14,-19.46,0.55,15.75,46.22,3.42
A80040,Errol,,24,0.64,3.5,54.5,to,58,no,,,,13.81,-20.12,11.34,-19.76,0.64,14.43,42.5,3.44
A80040,Errol,,25,0.6,4,58,to,62,no,,,,13.58,-19.78,11.11,-19.43,0.6,16.19,47.82,3.45
A80040,Errol,,26,0.69,5,62,to,67,no,,,,13.69,-20.14,11.22,-19.78,0.69,15.04,44.58,3.46
A80040,Errol,,27,0.67,5,67,to,72,no,,,,13.73,-19.54,11.26,-19.2,0.67,13.95,41.31,3.45
A80040,Errol,,28,0.57,5,72,to,77,no,,,,14.26,-19.05,11.79,-18.72,0.57,13.76,40.78,3.46
A80040,Errol,,29,0.57,6.5,77,to,83.5,no,,,,14.37,-18.97,11.9,-18.65,0.57,14.71,43.45,3.45
A80040,Errol,,30,0.57,7,83.5,to,90.5,no,,,,14.77,-18.49,12.3,-18.18,0.57,14.13,41.59,3.43
A80040,Errol,,31,0.52,8,90.5,to,98.5,no,,,,15.72,-18.04,13.26,-17.75,0.52,14.39,42.03,3.41
A80040,Errol,Tip,32,0.83,25,98.5,to,123.5,yes,09/06/2011,274,0.78,20.04,-17.29,17.59,-17.02,0.83,14.6,42.84,3.42
A80041,Junior,Base,1,0.78,2,0,to,2,no,09/03/2012,0,,14.1,-16.61,11.6,-16.48,0.78,13.9,42.77,3.59
A80041,Junior,,2,0.66,2.5,2,to,4.5,no,,,,14.34,-16.16,11.84,-16.03,0.66,14.41,44.24,3.58
A80041,Junior,,3,0.76,2.5,4.5,to,7,no,,,,14.69,-15.78,12.18,-15.66,0.76,13.63,41.93,3.59
A80041,Junior,,4,0.61,2.5,7,to,9.5,no,,,,14.68,-15.49,12.17,-15.37,0.61,15.42,47.46,3.59
A80041,Junior,,5,0.79,3,9.5,to,12.5,no,,,,14.66,-14.52,12.15,-14.4,0.79,13.73,42.26,3.59
A80041,Junior,,6,0.75,3,12.5,to,15.5,no,,,,14.18,-14.76,11.68,-14.64,0.75,12.79,39.3,3.58
A80041,Junior,,7,0.61,3,15.5,to,18.5,no,,,,15.39,-15.49,12.88,-15.37,0.61,14.43,44.14,3.57
A80041,Junior,,8,0.67,3,18.5,to,21.5,no,,,,15.11,-15.75,12.6,-15.63,0.67,13.29,40.58,3.56
A80041,Junior,,9,0.64,3,21.5,to,24.5,no,,,,14.96,-16.57,12.45,-16.44,0.64,13.17,40.02,3.55
A80041,Junior,,10,0.62,3.5,24.5,to,28,yes,09/12/2011,91,0.31,26.1,-16.69,23.58,-16.56,0.62,13.66,41.67,3.56
A80041,Junior,,11,0.7,4,28,to,32,no,,,,15.6,-19.09,13.09,-18.95,0.7,12.81,39.19,3.57
A80041,Junior,,12,0.56,4,32,to,36,no,,,,13.94,-20.67,11.44,-20.53,0.56,14.33,43.88,3.57
A80041,Junior,,13,0.58,5,36,to,41,no,,,,13.91,-19.63,11.41,-19.49,0.58,14.58,44.59,3.57
A80041,Junior,,14,0.7,6,41,to,47,no,,,,13.83,-19.53,11.33,-19.39,0.7,13.09,40.17,3.58
A80041,Junior,,15,0.61,6,47,to,53,no,,,,13.91,-19.24,11.41,-19.1,0.61,12.86,39.56,3.59
A80041,Junior,,16,0.65,8,53,to,61,no,,,,13.78,-18.58,11.28,-18.45,0.65,13.73,42.25,3.59
A80041,Junior,Tip,17,0.88,18,61,to,79,yes,09/09/2011,182,0.56,18.05,-19.12,15.54,-18.98,0.88,14.48,44.77,3.61
A80515,Takina,Base,1,0.69,1,0,to,1,no,07/11/2011,0,,14.47,-18.67,11.88,-18.56,0.69,15.08,45.33,3.51
A80515,Takina,,2,0.85,2,1,to,3,no,,,,13.78,-18.64,11.19,-18.53,0.85,14.17,42.45,3.5
A80515,Takina,,3,1.12,2,3,to,5,no,,,,13.92,-18.02,11.33,-17.91,1.12,14.27,42.81,3.5
A80515,Takina,,4,0.7,1.5,5,to,6.5,no,,,,13.41,-18.3,10.82,-18.19,0.7,13.42,39.63,3.45
A80515,Takina,,5,0.72,1.5,6.5,to,8,no,,,,13.35,-17.86,10.76,-17.75,0.72,14.55,42.71,3.42
A80515,Takina,,6,0.82,1.5,8,to,9.5,no,,,,13.95,-17.37,11.36,-17.27,0.82,13.9,40.93,3.44
A80515,Takina,,7,0.75,1.5,9.5,to,11,no,,,,14.06,-18.29,11.47,-18.18,0.75,16.06,47.14,3.42
A80515,Takina,,8,0.83,2,11,to,13,no,,,,17.2,-18.54,14.61,-18.43,0.83,14.7,43,3.41
A80515,Takina,,9,0.77,2,13,to,15,yes,07/08/2011,92,0.16,29.77,-17.26,27.18,-17.16,0.77,14.15,41.31,3.41
A80515,Takina,,10,0.67,1.5,15,to,16.5,no,,,,20.94,-18.68,18.35,-18.57,0.67,14.78,43.1,3.4
A80515,Takina,,11,1.05,2.5,16.5,to,19,no,,,,15.22,-18.94,12.63,-18.83,1.05,15.02,44.27,3.44
A80515,Takina,,12,0.67,2,19,to,21,no,,,,13.27,-19.12,10.68,-19.01,0.67,15.25,44.55,3.41
A80515,Takina,,13,0.66,2,21,to,23,no,,,,12.5,-19.32,9.91,-19.21,0.66,15.29,44.5,3.4
A80515,Takina,,14,0.79,2,23,to,25,no,,,,12.51,-19.62,9.92,-19.51,0.79,13.83,40.21,3.39
A80515,Takina,,15,0.6,2,25,to,27,no,,,,12.93,-20.04,10.34,-19.65,0.6,13.62,39.62,3.39
A80515,Takina,,16,0.72,2,27,to,29,no,,,,13.19,-19.26,10.6,-18.88,0.72,14.49,41.97,3.38
A80515,Takina,,17,0.7,2,29,to,31,no,,,,14.6,-19.05,12.01,-18.67,0.7,14.93,43.29,3.38
A80515,Takina,,18,0.64,2,31,to,33,no,,,,13.91,-19.02,11.32,-18.64,0.64,13.87,40.2,3.38
A80515,Takina,,19,0.56,2,33,to,35,no,,,,13.02,-19.34,10.43,-18.96,0.56,14.87,43.04,3.38
A80515,Takina,,20,0.76,2.5,35,to,37.5,no,,,,14.23,-19.59,11.64,-19.21,0.76,14.35,41.96,3.41
A80515,Takina,,21,0.78,2.5,37.5,to,40,no,,,,13.47,-19.91,10.88,-19.52,0.78,14.63,42.95,3.43
A80515,Takina,,22,0.67,2.5,40,to,42.5,no,,,,12.44,-20.27,9.85,-19.88,0.67,13.55,39.6,3.41
A80515,Takina,,23,0.59,2.5,42.5,to,45,no,,,,12.56,-19.98,9.97,-19.59,0.59,14.45,42.08,3.4
A80515,Takina,,24,0.66,3,45,to,48,no,,,,12.26,-20.2,9.67,-19.81,0.66,14.48,42.1,3.39
A80515,Takina,,25,0.65,3,48,to,51,no,,,,13.05,-20.05,10.46,-19.66,0.65,15.16,44.15,3.4
A80515,Takina,,26,0.66,3,51,to,54,no,,,,13.75,-19.33,11.16,-18.95,0.66,14.19,41.57,3.42
A80515,Takina,,27,0.67,3.5,54,to,57.5,no,,,,13.33,-19.63,10.74,-19.25,0.67,15.4,45.08,3.42
A80515,Takina,,28,0.68,4,57.5,to,61.5,no,,,,12.92,-19.53,10.33,-19.15,0.68,14.8,43.55,3.43
A80515,Takina,,29,0.66,4,61.5,to,65.5,no,,,,13.07,-19.42,10.48,-19.16,0.66,13.43,40.67,3.53
A80515,Takina,,30,0.58,4.5,65.5,to,70,no,,,,13.28,-19.07,10.69,-18.81,0.58,14.66,44.59,3.55
A80515,Takina,,31,0.6,5,70,to,75,no,,,,16.16,-19.12,13.57,-18.86,0.6,14.7,44.67,3.55
A80515,Takina,,32,0.71,6,75,to,81,yes,09/05/2011,182,0.73,22.8,-18.89,20.21,-18.64,0.71,13.56,41.5,3.57
A80515,Takina,,33,0.68,7,81,to,88,no,,,,12.45,-18.99,9.86,-18.73,0.68,14.54,44.44,3.57
A80515,Takina,,34,0.62,8,88,to,96,no,,,,11.9,-18.89,9.31,-18.64,0.62,14.58,44.54,3.56
A80515,Takina,,35,0.68,10.5,96,to,106.5,no,,,,12.01,-18.51,9.42,-18.26,0.68,13.66,41.64,3.56
A80515,Takina,Tip,36,1.14,33,106.5,to,139.5,no,,,,13.22,-17.91,10.63,-17.68,1.14,11.32,34.51,3.56
A80516,Kiwi,Base,1,0.76,2.5,0,to,2.5,no,26/10/2011,0,,14.22,-19.19,11.63,-18.85,0.76,16.34,49.62,3.54
A80516,Kiwi,,2,0.79,2,2.5,to,4.5,no,,,,14.23,-18.83,11.64,-18.5,0.79,13.09,39.31,3.5
A80516,Kiwi,,3,0.76,2,4.5,to,6.5,no,,,,14.18,-18.71,11.59,-18.39,0.76,14.13,42.45,3.5
A80516,Kiwi,,4,0.68,2,6.5,to,8.5,no,,,,14.2,-18.67,11.61,-18.35,0.68,14.21,42.82,3.52
A80516,Kiwi,,5,0.68,2,8.5,to,10.5,no,,,,14.15,-19.35,11.56,-19.01,0.68,14.36,43.48,3.53
A80516,Kiwi,,6,0.8,2,10.5,to,12.5,no,,,,13.83,-19.73,11.24,-19.38,0.8,12.2,36.88,3.53
A80516,Kiwi,,7,0.6,2,12.5,to,14.5,no,,,,13.71,-19.87,11.12,-19.51,0.6,13.69,41.34,3.52
A80516,Kiwi,,8,0.81,3,14.5,to,17.5,no,,,,14.21,-19.9,11.62,-19.54,0.81,13.99,42.23,3.52
A80516,Kiwi,,9,0.59,2,17.5,to,19.5,no,,,,14.56,-19.85,11.97,-19.49,0.59,12.59,37.77,3.5
A80516,Kiwi,,10,1.31,2.5,19.5,to,22,no,,,,14.54,-19.66,11.95,-19.31,1.31,7.22,21.71,3.51
A80516,Kiwi,,11,0.85,3.5,22,to,25.5,no,,,,14.87,-20.03,12.28,-19.67,0.85,13.96,42.13,3.52
A80516,Kiwi,,12,0.69,3,25.5,to,28.5,no,,,,16,-19.04,13.41,-18.71,0.69,13.76,41.51,3.52
A80516,Kiwi,,13,0.63,3,28.5,to,31.5,no,,,,20.25,-18.43,17.66,-18.12,0.63,14.14,42.81,3.53
A80516,Kiwi,,14,0.65,3.5,31.5,to,35,yes,20/07/2011,98,0.36,28.04,-17.16,25.45,-16.89,0.65,13.93,42.38,3.55
A80516,Kiwi,,15,0.73,4,35,to,39,no,,,,14.27,-18.41,11.68,-18.1,0.73,13.07,39.72,3.55
A80516,Kiwi,,16,0.7,4,39,to,43,no,,,,14.37,-18.08,11.78,-17.78,0.7,12.62,38.76,3.58
A80516,Kiwi,,17,0.65,4,43,to,47,no,,,,14.81,-17.65,12.22,-17.36,0.65,13.2,40.09,3.54
A80516,Kiwi,,18,0.63,5,47,to,52,no,,,,14.14,-18.29,11.55,-17.98,0.63,14.97,45.72,3.56
A80516,Kiwi,,19,0.65,5,52,to,57,no,,,,13.95,-18.3,11.36,-17.99,0.65,12.99,39.58,3.55
A80516,Kiwi,,20,0.62,6,57,to,63,no,,,,15.33,-17.83,12.74,-17.54,0.62,15.57,47.31,3.54
A80516,Kiwi,,21,0.76,7,63,to,70,no,,,,15.31,-19.44,12.72,-19.1,0.76,12.84,39.17,3.56
A80516,Kiwi,,22,0.56,7,70,to,77,no,,,,16.34,-19.26,13.75,-18.92,0.56,15.15,45.94,3.54
A80516,Kiwi,,23,0.83,19,77,to,96,no,,,,15.9,-18.77,13.31,-18.45,0.83,11.73,35.84,3.56
A80516,Kiwi,Tip,24,0.8,28,96,to,124,yes,21/04/2011,188,0.99,23.99,-18.25,21.4,-17.94,0.8,14.4,43.59,3.53
