date_collected,specimen_ID,name,sex,age,row,column,position_on_face,estimated_intradermal_length_mm,extradermal_length_mm,estimated_total_length_mm
20/05/2018,991001001114307,Yazheng,Female,Adult,D,1,D1,5.7,122.5,128.2
20/05/2018,991001001114308,Sackbut,Male,Adult,C,1,C1,5.4,51,56.4
20/05/2018,991001001114309,Whamola,Female,Yearling,F,1,F1,5.5,120,125.5
20/05/2018,991001001114310,Arpa,Female,Adult,E,1,E1,5.5,96,101.5
19/05/2018,991001001114311,Quena,Female,Adult,C,1,C1,5.4,111,116.4
19/05/2018,991001001114312,Ocarina,Female,Yearling,E,1,E1,5.5,93,98.5
20/05/2018,991001001114313,Qeej,Male,Adult,C,1,C1,5.4,46,51.4
20/05/2018,991001001114314,Oboe,Male,Adult,C,1,C1,5.4,101,106.4
19/05/2018,991001001114315,Saxtuba,Female,Adult,E,1,E1,5.5,137,142.5
20/05/2018,991001001114316,Ukelele,Female,Adult,E,1,E1,5.5,116.5,122.0
03/10/2018,991001001625601,Xylomelum,Male,Yearling,D,1,D1,5.7,50.5,56.2
04/10/2018,991001001625603,Yew,Male,Yearling,C,1,C1,5.4,98,103.4
03/10/2018,991001001625604,Quira,Female,Adult,C,1,C1,5.4,56,61.4
02/10/2018,991001001625605,Papaya,Female,Yearling,C,1,C1,5.4,81.5,86.9
02/10/2018,991001001625606,Wattle,Male,Yearling,F,1,F1,5.5,77,82.5
30/05/2019,991001001625606,Wattle,Male,Adult,D,1,D1,5.7,42,47.7
13/09/2018,991001001625607,Imbe,Male,Yearling,D,1,D1,5.7,138.5,144.2
04/10/2018,991001001625608,Raffia,Female,Yearling,F,1,F1,5.5,69,74.5
26/05/2019,991001001625608,Raffia,Female,Adult,C,1,C1,5.4,139.5,144.9
11/06/2019,991001001625609,Xocotl,Male,Yearling,D,1,D1,5.7,126,131.7
14/09/2018,991001001625610,Jaffna,Female,Yearling,D,1,D1,5.7,138,143.7
08/08/2018,991001001625611,Bicheno,Male,Yearling,B,1,B1,4.9,144,148.9
14/09/2018,991001001625612,Jujube,Male,Yearling,E,1,E1,5.5,128.5,134.0
04/08/2018,991001001625613,Cabrilla,Female,Adult,E,1,E1,5.5,60.5,66.0
26/09/2018,991001001625613,Cabrilla,Female,Adult,D,1,D1,5.7,68,73.7
09/02/2019,991001001625613,Cabrilla,Female,Adult,D,1,D1,5.7,25,30.7
11/08/2018,991001001625614,Hellyer,Male,Adult,D,1,D1,5.7,104.5,110.2
01/05/2019,991001001625614,Hellyer,Male,Adult,B,1,B1,4.9,138,142.9
08/08/2018,991001001625616,Volta,Female,Yearling,F,1,F1,5.5,69,74.5
26/04/2019,991001001625616,Volta,Female,Adult,D,1,D1,5.7,122,127.7
08/08/2018,991001001625617,Urmia,Female,Yearling,F,1,F1,5.5,56.5,62.0
04/08/2018,991001001625618,Orion,Male,Adult,C,1,C1,5.4,135,140.4
08/08/2018,991001001625619,Cooee,Male,Yearling,C,1,C1,5.4,119.5,124.9
08/08/2018,991001001625620,Dunalley,Male,Yearling,C,1,C1,5.4,131,136.4
28/04/2019,991001001625620,Dunalley,Male,Adult,D,1,D1,5.7,122,127.7
07/06/2019,991001001625631,Oroblanco,Male,Yearling,E,1,E1,5.5,120,125.5
11/05/2019,991001001625633,Levanna,Female,Yearling,E,1,E1,5.5,124,129.5
06/06/2019,991001001625635,Mangosteen,Male,Yearling,E,1,E1,5.5,122.5,128.0
05/06/2019,991001001625636,Lychee,Male,Yearling,C,1,C1,5.4,99.5,104.9
06/06/2019,991001001625637,Fireberry,Female,Yearling,D,1,D1,5.7,107,112.7
02/05/2019,991001001625638,Pyengana,Male,Adult,D,1,D1,5.7,122,127.7
06/05/2019,991001001625639,Etna,Female,Yearling,D,1,D1,5.7,121,126.7
06/05/2019,991001001625640,Fujiyama,Female,Yearling,D,1,D1,5.7,99,104.7
01/09/2018,991001001625641,Hitmonlee,Male,Yearling,C,1,C1,5.4,108.5,113.9
03/09/2018,991001001625642,Jirachi,Male,Yearling,C,1,C1,5.4,138.5,143.9
04/09/2018,991001001625643,Jigglypuff,Female,Yearling,F,1,F1,5.5,65,70.5
03/09/2018,991001001625644,Inkay,Female,Yearling,D,1,D1,5.7,140.5,146.2
01/09/2018,991001001625646,Goldeen,Female,Yearling,B,1,B1,4.9,139,143.9
21/05/2019,991001001625646,Goldeen,Female,Adult,E,1,E1,5.5,131.5,137.0
01/09/2018,991001001625647,Floette,Female,Yearling,C,1,C1,5.4,147.5,152.9
01/09/2018,991001001625648,Emolga,Female,Yearling,C,1,C1,5.4,118,123.4
01/09/2018,991001001625649,Hoppip,Female,Yearling,D,1,D1,5.7,150.5,156.2
20/05/2019,991001001625649,Hoppip,Female,Adult,D,1,D1,5.7,127.5,133.2
02/09/2018,991001001625650,Incineroar,Male,Yearling,D,1,D1,5.7,137,142.7
19/05/2019,991001001625650,Incineroar,Male,Adult,D,1,D1,5.7,47.5,53.2
16/06/2019,991001001625661,Ukdah,Female,Yearling,D,1,D1,5.7,91.5,97.2
10/06/2019,991001001625662,Vitex,Male,Yearling,D,1,D1,5.7,132,137.7
15/06/2019,991001001625663,Gabbar,Male,Yearling,E,1,E1,5.5,142,147.5
15/06/2019,991001001625664,Faramir,Male,Adult,C,1,C1,5.4,97,102.4
17/06/2019,991001001625665,Vacca,Female,Yearling,D,1,D1,5.7,113,118.7
15/06/2019,991001001625666,Elthor,Male,Yearling,E,1,E1,5.5,141.5,147.0
15/06/2019,991001001625667,Taygeta,Female,Yearling,D,1,D1,5.7,122.5,128.2
21/06/2019,991001001625668,Adhara,Female,Yearling,E,1,E1,5.5,92,97.5
10/06/2019,991001001625669,Jabuitcaba,Female,Yearling,C,1,C1,5.4,113,118.4
15/06/2019,991001001625670,Shaula,Female,Yearling,E,1,E1,5.5,89.5,95.0
30/06/2018,991001001625671,Faxe,Female,Yearling,E,1,E1,5.5,120.5,126.0
01/07/2018,991001001625672,Leffe,Female,Yearling,E,1,E1,5.5,123.5,129.0
01/07/2018,991001001625673,Niska,Female,Yearling,C,1,C1,5.4,115,120.4
29/07/2018,991001001625675,Risha,Female,Yearling,C,1,C1,5.4,141,146.4
23/09/2018,991001001625675,Risha,Female,Yearling,D,1,D1,5.7,67.5,73.2
19/06/2019,991001001625675,Risha,Female,Adult,F,1,F1,5.5,54.5,60.0
29/07/2018,991001001625676,Quintilla,Female,Yearling,D,1,D1,5.7,62.5,68.2
19/07/2018,991001001625677,Gienah,Male,Adult,B,1,B1,4.9,140.5,145.4
23/09/2018,991001001625677,Gienah,Male,Adult,D,1,D1,5.7,99,104.7
29/07/2018,991001001625678,Okda,Female,Yearling,D,1,D1,5.7,133,138.7
29/07/2018,991001001625679,Pyxidis,Female,Yearling,D,1,D1,5.7,125,130.7
24/09/2018,991001001625679,Pyxidis,Female,Yearling,E,1,E1,5.5,63.5,69.0
29/07/2018,991001001625680,Sagitta,Female,Yearling,B,1,B1,4.9,108,112.9
18/06/2019,991001001625680,Sagitta,Female,Adult,E,1,E1,5.5,90,95.5
26/04/2019,991001001625711,Judbury,Male,Adult,C,1,C1,5.4,101,106.4
26/04/2019,991001001625712,Kelso,Male,Yearling,C,1,C1,5.4,108,113.4
14/08/2019,991001001625712,Kelso,Male,Yearling,C,1,C1,5.4,101.5,106.9
27/05/2019,991001001625713,Sequoia,Female,Yearling,C,1,C1,5.4,134.5,139.9
29/04/2019,991001001625714,Avoca,Female,Yearling,D,1,D1,5.7,47,52.7
12/08/2019,991001001625714,Avoca,Female,Yearling,B,1,B1,4.9,87.5,92.4
